snapshot,solar_mw,wind_mw,load_shedding_mw,electricity_demand_mw,hydrogen_demand_mw,electrolyzer_input_mw,hydrogen_output_mw,mining_mw
2030-11-08 01:00:00,-0.0,13098.796114441919,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
2030-11-08 02:00:00,7564.685133013117,5534.110981428802,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
2030-11-08 03:00:00,13098.796114441919,-0.0,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
2030-11-08 04:00:00,13098.796114441919,-0.0,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
2030-11-08 05:00:00,13098.796114441919,-0.0,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
2030-11-08 06:00:00,13098.796114441919,-0.0,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
2030-11-08 07:00:00,13098.796114441919,-0.0,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
2030-11-08 08:00:00,13098.796114441919,-0.0,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
2030-11-08 09:00:00,13098.796114441919,-0.0,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
2030-11-08 10:00:00,13098.796114441919,-0.0,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
2030-11-08 11:00:00,-0.0,13098.796114441919,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
2030-11-08 12:00:00,-0.0,13098.796114441919,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
2030-11-08 13:00:00,-0.0,13098.796114441919,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
2030-11-08 14:00:00,-0.0,13098.796114441919,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
2030-11-08 15:00:00,-0.0,13098.796114441919,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
2030-11-08 16:00:00,-0.0,13098.796114441919,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
2030-11-08 17:00:00,-0.0,13098.796114441919,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
2030-11-08 18:00:00,-0.0,13098.796114441919,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
2030-11-08 19:00:00,-0.0,13098.796114441919,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
2030-11-08 20:00:00,-0.0,13098.796114441919,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
2030-11-08 21:00:00,-0.0,13098.796114441919,-0.0,12865.138888888889,20.0,33.657225553029114,23.56005788712038,200.0
